Country,Region,Population,Infant_Mortality,GDP_per_capita
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,"14,35",3700
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,"62,5",1900
Suriname ,LATIN AMER. & CARIB    ,439117,"23,57",4000
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,"69,27",4900
Sweden ,WESTERN EUROPE                     ,9016596,"2,77",26800
Switzerland ,WESTERN EUROPE                     ,7523934,"4,39",32700
Syria ,NEAR EAST                          ,18881361,"29,53",3300
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,"6,4",23400
Tajikistan ,C.W. OF IND. STATES ,7320815,"110,76",1000
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,"98,54",600
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,"20,48",7400
Togo ,SUB-SAHARAN AFRICA                 ,5548702,"66,61",1500
Tonga ,OCEANIA                            ,114689,"12,62",2200
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,"24,31",9500
Tunisia ,NORTHERN AFRICA                    ,10175014,"24,77",6900
Turkey ,NEAR EAST                          ,70413958,"41,04",6700
Turkmenistan ,C.W. OF IND. STATES ,5042920,"73,08",5800
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,"15,67",9600
Tuvalu ,OCEANIA                            ,11810,"20,03",1100
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,"67,83",1400
Ukraine ,C.W. OF IND. STATES ,46710816,"20,34",5400
United Arab Emirates ,NEAR EAST                          ,2602713,"14,51",23200
United Kingdom ,WESTERN EUROPE                     ,60609153,"5,16",27700
United States ,NORTHERN AMERICA                   ,298444215,"6,5",37800
Uruguay ,LATIN AMER. & CARIB    ,3431932,"11,95",12800
Uzbekistan ,C.W. OF IND. STATES ,27307134,"71,1",1700
Vanuatu ,OCEANIA                            ,208869,"55,16",2900
Venezuela ,LATIN AMER. & CARIB    ,25730435,"22,2",4800
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,"25,95",2500
Virgin Islands ,LATIN AMER. & CARIB    ,108605,"8,03",17200
Wallis and Futuna ,OCEANIA                            ,16025,,3700
West Bank ,NEAR EAST                          ,2460492,"19,62",800
Western Sahara ,NORTHERN AFRICA                    ,273008,,
Yemen ,NEAR EAST                          ,21456188,"61,5",800
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,"88,29",800
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,"67,69",1900
